REGION_INDEX,TIME,STARTEND
-1,458.7632520198822,1676802169.4943583
6,852.9592440128326,1676803455.0911312
8,946.5405373573303,1676803552.8290176
30,927.4233043193817,1676803560.8043811
31,929.7263405323029,1676803585.370021
16,970.3216025829315,1676803603.324029
19,976.1812033653259,1676803609.0429792
20,987.3680808544159,1676803620.2269697
15,1013.601713180542,1676803646.7630024
3,1067.434308052063,1676803665.8935208
25,1134.9248669147491,1676803768.273244
10,1150.9393515586853,1676803784.335562
26,1178.9808251857758,1676803812.3289797
1,1218.0788655281067,1676803815.2839952
0,1227.9016172885895,1676803825.1046762
5,1234.0354771614075,1676803837.2499382
28,1211.9113619327545,1676803845.2928622
21,1225.9827027320862,1676803858.8415685
33,1235.9543631076813,1676803868.9318986
23,1246.0144183635712,1676803879.3625433
32,1253.6278030872345,1676803909.271768
7,1332.2662756443024,1676803934.398345
18,1332.904132604599,1676803965.9066179
17,1337.7454195022583,1676803970.7478726
14,1360.282642364502,1676803993.4439738
27,1421.3770024776459,1676804054.7587945
22,1475.7682576179504,1676804108.6271691
4,1527.089282989502,1676804123.5377104
9,1517.481539964676,1676804150.8095744
29,1705.150503396988,1676804338.5319865
24,1758.6164739131927,1676804391.9643934
12,1811.1363716125488,1676804444.9638908
11,1997.8645913600922,1676804631.192581
13,2717.4839417934418,1676805350.789678
2,2812.810679912567,1676805411.2731652
